Branch,Sub_branch_1,Sub_branch_2,Sub_branch_3,References,ID
Objective,Local risk assessment,None,None,\cite{laugel2019dangers}\\,laugel2019dangers
Objective,Trade off model accuracy - size,None,None,"\cite{bibal2016interpretability, dam2018explainable, freitas2014comprehensible, gacto2011interpretability, otero2016improving, preece2018asking}\\","bibal2016interpretability, dam2018explainable, freitas2014comprehensible, gacto2011interpretability, otero2016improving, preece2018asking"
Objective,Number of rules,None,None,"\cite{freitas1999rule, garcia2009study, lakkaraju2016interpretable}\\","freitas1999rule,garcia2009study,lakkaraju2016interpretable"
Objective,Productivity performance metrics,None,None,"\cite{bohanec2017decision, bohanec2017explaining,dam2018explainable, preece2018asking}\\","bohanec2017decision, bohanec2017explaining,dam2018explainable, preece2018asking"
Objective,Text quality metrics,None,None,\cite{barratt2017interpnet}\\,barratt2017interpnet
Objective,Image classification metrics,None,None,"\cite{sundararajan2019exploring, zhang2018visual}\\","sundararajan2019exploring, zhang2018visual"
Objective,Sensitivity to input perturbation,None,None,"\cite{adebayo2018local,adebayo2018sanity,alvarez2018robustness,ancona2018towards,arras2016explaining,arras2017relevant,binder2016analyzing,ghorbani2017interpretation,kindermans2017reliability,samek2017explainable,samek2017evaluating,yeh2019fidelity}\\","adebayo2018local,adebayo2018sanity,alvarez2018robustness,ancona2018towards,arras2016explaining,arras2017relevant,binder2016analyzing,ghorbani2017interpretation,kindermans2017reliability,samek2017explainable,samek2017evaluating,yeh2019fidelity"
Objective,Sensitivity to model parameter randomization,None,None,"\cite{adebayo2018local,adebayo2018sanity,erhan2009visualizing}\\","adebayo2018local,adebayo2018sanity,erhan2009visualizing"
Objective,Explanation completeness,None,None,"\cite{chajewska1997defining, gevrey2003review}\\",gevrey2003review
Objective,Productivity performance metrics,None,None,"\cite{robnik2008explaining,robnik2018explanation}\\","robnik2008explaining,robnik2018explanation"
Objective,Infidelity,None,None,\cite{yeh2019fidelity}\\,yeh2019fidelity
Objective,Percentage of correct rules,None,None,\cite{ignatiev2020towards}\\,ignatiev2020towards
Human-centred,Qualitative ,Autonomous agents ,Textual ,"\cite{dzindolet2003role,sanneman2020situation}\\","dzindolet2003role,sanneman2020situation"
Human-centred,Qualitative ,Context-aware systems ,Textual ,"\cite{lim2009assessing, lim2009and}\\","lim2009assessing,lim2009and"
Human-centred,Qualitative ,Context-aware systems ,Visual ,\cite{lim2009assessing}\\,lim2009assessing
Human-centred,Qualitative ,Feature extraction and selection,Mixed ,\cite{kim2015mind}\\,kim2015mind
